Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ATEN25,BT4,Pre-exposure,Heat-stressed,100.659,200.896,50.10502946798344
ATEN25,BT4,Pre-exposure,Heat-stressed,109.416,202.757,53.96410481512351
ATEN25,BT5,Pre-exposure,Heat-stressed,76.004,173.835,43.721920211695
ATEN25,BT5,Pre-exposure,Heat-stressed,77.123,198.825,38.789387652458196
ATEN25,BT6,Pre-exposure,Control,125.787,194.936,64.5273320474412
ATEN25,BT6,Pre-exposure,Control,106.399,194.647,54.66254296238833
ATEN25,BT7,Pre-exposure,Heat-stressed,86.215,199.732,43.165341557687306
ATEN25,BT7,Pre-exposure,Heat-stressed,122.91,198.574,61.8963207670692
ATEN25,BT8,Pre-exposure,Control,114.143,198.988,57.36175045731401
ATEN25,BT8,Pre-exposure,Control,129.111,198.246,65.12666081535062
ATEN26,BT1,Pre-exposure,Control,68.401,170.56,40.10377579737335
ATEN26,BT1,Pre-exposure,Control,108.909,197.444,55.15943761269019
ATEN26,BT2,Pre-exposure,Control,62.415,203.585,30.65795613625758
ATEN26,BT2,Pre-exposure,Control,95.997,202.253,47.46382006694586
ATEN26,BT3,Pre-exposure,Heat-stressed,139.128,203.978,68.20735569522202
ATEN26,BT3,Pre-exposure,Heat-stressed,108.343,203.782,53.1661285098782
ATEN26,BT4,Pre-exposure,Heat-stressed,112.725,203.22,55.46944198405669
ATEN26,BT4,Pre-exposure,Heat-stressed,125.831,204.325,61.583751376483555
