Species,Day elapsed,Colony,N fragment,Bleached fragments,Healthy fragments,Fragment ID,Fragment #,status
A. tenuis,9,ATEN05,8,0,8,ATEN05_5,5,1
A. tenuis,9,ATEN05,8,0,8,ATEN05_6,6,1
A. tenuis,9,ATEN05,8,0,8,ATEN05_7,7,1
A. tenuis,9,ATEN05,8,0,8,ATEN05_8,8,1
A. tenuis,9,ATEN06,8,2,6,ATEN06_1,1,1
A. tenuis,9,ATEN06,8,2,6,ATEN06_2,2,1
A. tenuis,9,ATEN06,8,2,6,ATEN06_3,3,1
A. tenuis,9,ATEN06,8,2,6,ATEN06_4,4,1
A. tenuis,9,ATEN06,8,2,6,ATEN06_5,5,1
A. tenuis,9,ATEN06,8,2,6,ATEN06_6,6,1
A. tenuis,9,ATEN06,8,2,6,ATEN06_7,7,2
A. tenuis,9,ATEN06,8,2,6,ATEN06_8,8,2
A. tenuis,9,ATEN10,8,0,8,ATEN10_1,1,1
A. tenuis,9,ATEN10,8,0,8,ATEN10_2,2,1
A. tenuis,9,ATEN10,8,0,8,ATEN10_3,3,1
A. tenuis,9,ATEN10,8,0,8,ATEN10_4,4,1
A. tenuis,9,ATEN10,8,0,8,ATEN10_5,5,1
A. tenuis,9,ATEN10,8,0,8,ATEN10_6,6,1
A. tenuis,9,ATEN10,8,0,8,ATEN10_7,7,1
A. tenuis,9,ATEN10,8,0,8,ATEN10_8,8,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_1,1,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_2,2,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_3,3,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_4,4,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_5,5,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_6,6,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_7,7,1
A. tenuis,9,ATEN11,8,0,8,ATEN11_8,8,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_1,1,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_2,2,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_3,3,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_4,4,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_5,5,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_6,6,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_7,7,1
A. tenuis,9,ATEN12,8,0,8,ATEN12_8,8,1
A. tenuis,9,ATEN13,8,0,8,ATEN13_1,1,1
A. tenuis,9,ATEN13,8,0,8,ATEN13_2,2,1
